name,email,degreeProgram,isTA?,isGrader?,isSG?,positionString,preferences,antipref,indifferent
77,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"100, 200, 300, 410, 411, 420, 431, 470","436, 440, 445, 462, 482, 483","100, 200, 300, 400"
78,email,degree,1,1,1,Teaching Assistant;Senior Grader,"411, 629, 222, 633",,"100, 200, 300, 400"
79,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"412, 420, 310, 411, 470, 431",,"100, 200, 300, 400"
80,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"350, 469, 312, 111, 121, 110, 310, 410, 416, 463",,"100, 200, 300, 400"
81,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"221, 435, 411",,"100, 200, 300, 400"
82,email,degree,1,0,0,Teaching Assistant,"110, 111, 411","312, 313","100, 200, 300, 400"
83,email,degree,0,1,0,Grader,411,410,"100, 200, 300, 400"
84,email,degree,1,0,0,Teaching Assistant,"438, 470, 410, 482, 221, 121, 315, 222",411,"100, 200, 300, 400"
85,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"110, 121, 221, 206, 312, 315, 411, 431",,"100, 200, 300, 400"
86,email,degree,1,0,0,Teaching Assistant,"100, 312, 350, 416, 435, 456, 461, 462, 463, 469",,"100, 200, 300, 400"
87,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"313, 411",,"100, 200, 300, 400"
88,email,degree,1,0,0,Teaching Assistant,"312, 350, 416, 435, 456, 461, 462, 463, 469, 410, 100",,"100, 200, 300, 400"
89,email,degree,1,0,0,Teaching Assistant,"436, 482, 315, 445",,"100, 200, 300, 400"
90,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"111, 121, 181, 221, 431",,"100, 200, 300, 400"
91,email,degree,1,0,0,Teaching Assistant,"100, 221, 314, 315, 431","440, 441","100, 200, 300, 400"
92,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"221, 222, 438, 420, 181, 110",,"100, 200, 300, 400"
93,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"206, 221, 310, 314, 420, 431, 451, 470, 489, 110, 111, 121, 181, 222, 312, 313, 315, 410, 411, 433, 436, 445, 483, 489",,"100, 200, 300, 400"
94,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"121, 206, 312, 350, 412","222, 222, 310, 314, 416, 416","100, 200, 300, 400"
95,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"221, 420, 436, 462, 470, 489, 625, 633, 636, 668, 670",,"100, 200, 300, 400"
96,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"310, 206, 121, 181, 313, 221, 314, 312, 222, 315, 121, 111",,"100, 200, 300, 400"
97,email,degree,1,0,0,Teaching Assistant,"441, 121",,"100, 200, 300, 400"
98,email,degree,1,0,0,Teaching Assistant,"441, 100",,"100, 200, 300, 400"
99,email,degree,1,0,0,Teaching Assistant,"221, 411, 121","310, 410, 431, 463, 462, 441","100, 200, 300, 400"
100,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"110, 111, 121, 181, 206, 221, 222, 310, 312, 313, 410, 411, 462, 611, 614, 629","633, 636","100, 200, 300, 400"
101,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"221, 411, 111, 314, 113, 206, 222, 110, 113, 121, 181, 310, 312, 315, 431, 442",,"100, 200, 300, 400"
102,email,degree,0,1,0,Grader,"206, 221, 222, 310, 312, 313, 314, 411, 420","462, 463, 465, 440","100, 200, 300, 400"
103,email,degree,1,0,0,Teaching Assistant,"221, 312, 121",400,"100, 200, 300, 400"
104,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"489, 633, 633, 636, 481, 482, 436, 441, 451, 431, 606, 110, 111, 121, 181, 221, 222, 310, 314, 315, 420, 625, 470, 411, 629",,"100, 200, 300, 400"
105,email,degree,1,0,0,Teaching Assistant,"614, 312, 315",,"100, 200, 300, 400"
106,email,degree,1,0,0,Teaching Assistant,"313, 350, 100, 200, 300, 400",,"100, 200, 300, 400"
107,email,degree,1,1,1,Teaching Assistant;Senior Grader,"614, 312, 221",,"100, 200, 300, 400"
108,email,degree,1,0,0,Teaching Assistant,"433, 627, 411, 629, 222",,"100, 200, 300, 400"
109,email,degree,1,0,0,Teaching Assistant,"310, 411, 222","410, 416, 463","100, 200, 300, 400"
110,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"411, 452, 181, 221","310 , 206","100, 200, 300, 400"
111,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"110, 181, 221, 410, 411, 181","600, 700","100, 200, 300, 400"
112,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"411, 431, 606, 629, 221",,"100, 200, 300, 400"
113,email,degree,1,0,0,Teaching Assistant,"313, 315, 121",,"100, 200, 300, 400"
114,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"110, 221, 222, 411, 420, 431, 470, 489",,"100, 200, 300, 400"
115,email,degree,1,0,0,Teaching Assistant,"110, 121, 221","313, 315, 222","100, 200, 300, 400"
